[2021-04-27 16:10:46.966755]	Получено число: 173517569 
[2021-04-27 16:10:47.981831]	Получены данные b'\x01\xabW\n' 
[2021-04-27 16:10:47.982755]	Получено число: 173517569 
[2021-04-27 16:10:48.995755]	Получены данные b'\xff\xaaW\n' 
[2021-04-27 16:10:48.996756]	Получено число: 173517567 
[2021-04-27 16:10:50.019756]	Получены данные b'\xfd\xaaW\n' 
[2021-04-27 16:10:50.020756]	Получено число: 173517565 
[2021-04-27 16:10:51.039754]	Получены данные b'\xfb\xaaW\n' 
[2021-04-27 16:10:51.040755]	Получено число: 173517563 
[2021-04-27 16:10:52.064754]	Получены данные b'\xf9\xaaW\n' 
[2021-04-27 16:10:52.065772]	Получено число: 173517561 
[2021-04-27 16:10:53.081848]	Получены данные b'\xf7\xaaW\n' 
[2021-04-27 16:10:53.082833]	Получено число: 173517559 
[2021-04-27 16:10:54.101833]	Получены данные b'\xf5\xaaW\n' 
[2021-04-27 16:10:54.102833]	Получено число: 173517557 
[2021-04-27 16:10:55.119833]	Получены данные b'\xf3\xaaW\n' 
[2021-04-27 16:10:55.120833]	Получено число: 173517555 
[2021-04-27 16:10:56.136832]	Получены данные b'\xf1\xaaW\n' 
[2021-04-27 16:10:56.137833]	Получено число: 173517553 
[2021-04-27 16:10:57.165833]	Получены данные b'\xef\xaaW\n' 
[2021-04-27 16:10:57.166834]	Получено число: 173517551 
[2021-04-27 16:10:58.182833]	Получены данные b'\xed\xaaW\n' 
[2021-04-27 16:10:58.182833]	Получено число: 173517549 
[2021-04-27 16:10:59.205839]	Получены данные b'\xeb\xaaW\n' 
[2021-04-27 16:10:59.206833]	Получено число: 173517547 
[2021-04-27 16:11:00.220832]	Получены данные b'\xe9\xaaW\n' 
[2021-04-27 16:11:00.220832]	Получено число: 173517545 
[2021-04-27 16:11:01.244833]	Получены данные b'\xe7\xaaW\n' 
[2021-04-27 16:11:01.244833]	Получено число: 173517543 
[2021-04-27 16:11:02.263834]	Получены данные b'\x01\xabW\n' 
[2021-04-27 16:11:02.264833]	Получено число: 173517569 
[2021-04-27 16:11:03.283833]	Получены данные b'\xff\xaaW\n' 
[2021-04-27 16:11:03.284832]	Получено число: 173517567 
[2021-04-27 16:11:04.299831]	Получены данные b'\x01\xabW\n' 
[2021-04-27 16:11:04.300832]	Получено число: 173517569 
[2021-04-27 16:11:05.326832]	Получены данные b'\xff\xaaW\n' 
[2021-04-27 16:11:05.327832]	Получено число: 173517567 
[2021-04-27 16:11:06.347833]	Получены данные b'\xfd\xaaW\n' 
[2021-04-27 16:11:06.348833]	Получено число: 173517565 
[2021-04-27 16:11:07.371834]	Получены данные b'\x01\xabW\n' 
[2021-04-27 16:11:07.372887]	Получено число: 173517569 
[2021-04-27 16:11:08.387832]	Получены данные b'\xff\xaaW\n' 
[2021-04-27 16:11:08.388833]	Получено число: 173517567 
[2021-04-27 16:11:09.413832]	Получены данные b'\x01\xabW\n' 
[2021-04-27 16:11:09.415833]	Получено число: 173517569 
[2021-04-27 16:11:10.433833]	Получены данные b'\xff\xaaW\n' 
[2021-04-27 16:11:10.434833]	Получено число: 173517567 
[2021-04-27 16:11:11.460834]	Получены данные b'\xfd\xaaW\n' 
[2021-04-27 16:11:11.461842]	Получено число: 173517565 
