[2021-04-27 17:43:16.318964]	Отправка числа: 1056964613 
[2021-04-27 17:43:16.550964]	Получен ответ: b'N' 
[2021-04-27 17:43:16.551964]	Отправка числа: 1056964587 
[2021-04-27 17:43:16.778970]	Получен ответ: b'N' 
[2021-04-27 17:43:16.779964]	Отправка числа: 1056964614 
[2021-04-27 17:43:17.007963]	Получен ответ: b'L' 
[2021-04-27 17:43:17.008964]	Отправка числа: 1048575987 
[2021-04-27 17:43:17.247964]	Получен ответ: b'N' 
[2021-04-27 17:43:17.247964]	Отправка числа: 1048575988 
[2021-04-27 17:43:17.482963]	Получен ответ: b'N' 
[2021-04-27 17:43:17.484013]	Отправка числа: 1048575986 
[2021-04-27 17:43:17.736964]	Получен ответ: b'N' 
[2021-04-27 17:43:17.736964]	Отправка числа: 1048575989 
[2021-04-27 17:43:17.962972]	Получен ответ: b'N' 
[2021-04-27 17:43:17.964014]	Отправка числа: 1048575985 
[2021-04-27 17:43:18.198964]	Получен ответ: b'L' 
[2021-04-27 17:43:18.200975]	Отправка числа: 1044381686 
[2021-04-27 17:43:18.433964]	Получен ответ: b'N' 
[2021-04-27 17:43:18.434964]	Отправка числа: 1044381687 
[2021-04-27 17:43:18.664011]	Получен ответ: b'N' 
[2021-04-27 17:43:18.664964]	Отправка числа: 1044381685 
[2021-04-27 17:43:18.888963]	Получен ответ: b'R' 
[2021-04-27 17:43:18.888963]	Отправка числа: 1046478836 
[2021-04-27 17:43:19.124060]	Получен ответ: b'N' 
[2021-04-27 17:43:19.126062]	Отправка числа: 1046478837 
[2021-04-27 17:43:19.397005]	Получен ответ: b'N' 
[2021-04-27 17:43:19.399006]	Отправка числа: 1046478835 
[2021-04-27 17:43:19.636006]	Получен ответ: b'N' 
[2021-04-27 17:43:19.637006]	Отправка числа: 1046478838 
[2021-04-27 17:43:19.908005]	Получен ответ: b'N' 
[2021-04-27 17:43:19.908005]	Отправка числа: 1046478834 
[2021-04-27 17:43:20.341005]	Получен ответ: b'N' 
[2021-04-27 17:43:20.342005]	Отправка числа: 1046478839 
[2021-04-27 17:43:20.729009]	Получен ответ: b'N' 
[2021-04-27 17:43:20.730009]	Отправка числа: 1046478833 
[2021-04-27 17:43:21.142004]	Получен ответ: b'N' 
[2021-04-27 17:43:21.143005]	Отправка числа: 1046478840 
[2021-04-27 17:43:21.533005]	Получен ответ: b'N' 
[2021-04-27 17:43:21.534010]	Отправка числа: 1046478832 
[2021-04-27 17:43:21.967005]	Получен ответ: b'N' 
[2021-04-27 17:43:21.967005]	Отправка числа: 1046478841 
[2021-04-27 17:43:22.204005]	Получен ответ: b'N' 
[2021-04-27 17:43:22.204005]	Отправка числа: 1046478831 
[2021-04-27 17:43:22.444008]	Получен ответ: b'N' 
[2021-04-27 17:43:22.445005]	Отправка числа: 1046478842 
[2021-04-27 17:43:22.688005]	Получен ответ: b'L' 
[2021-04-27 17:43:22.689004]	Отправка числа: 1045430259 
[2021-04-27 17:43:22.947005]	Получен ответ: b'N' 
[2021-04-27 17:43:22.948005]	Отправка числа: 1045430260 
[2021-04-27 17:43:23.198005]	Получен ответ: b'N' 
[2021-04-27 17:43:23.199006]	Отправка числа: 1045430258 
[2021-04-27 17:43:23.463005]	Получен ответ: b'N' 
[2021-04-27 17:43:23.464005]	Отправка числа: 1045430261 
[2021-04-27 17:43:23.684005]	Получен ответ: b'L' 
[2021-04-27 17:43:23.685005]	Отправка числа: 1044905972 
[2021-04-27 17:43:23.927006]	Получен ответ: b'N' 
[2021-04-27 17:43:23.927006]	Отправка числа: 1044905973 
[2021-04-27 17:43:24.152005]	Получен ответ: b'R' 
[2021-04-27 17:43:24.152005]	Отправка числа: 1045168115 
[2021-04-27 17:43:24.387005]	Получен ответ: b'N' 
